scenario,parameter,multiplier,parameter_value,dry_time_s,dry_time_h,relative_to_main_percent
main,基准,1.0,0.0,183879.0,51.0775,0.0
shape_-0.2,a^*,-1.0,-0.2,183320.0,50.922222222222224,-0.3040042636733964
shape_-0.1,a^*,-0.5,-0.1,183597.0,50.99916666666667,-0.15336172156690253
shape_0.1,a^*,0.5,0.1,184166.0,51.157222222222224,0.1560809010273001
shape_0.2,a^*,1.0,0.2,184457.0,51.238055555555555,0.3143371456229449
h_0.8,h,0.8,20.0,183944.0,51.095555555555556,0.035349332985279425
h_1.2,h,1.2,30.0,183836.0,51.065555555555555,-0.023384943359494592
hm_0.8,h_m,0.8,6.4e-07,186353.0,51.764722222222225,1.3454499970088962
hm_1.2,h_m,1.2,9.6e-07,182462.0,50.68388888888889,-0.7706154590790715
